trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.05187690001912415,,0.005836000025738031,10,0.05187690001912415,0.05187690001912415,0.02918729995144531,1.066059699980542,1.9256449000095017,[0.1398148148148148],[0.39351851851851855],[1],[0],[0],[1.8953635999932885],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
1,0,1,0,1.9709210000000894,,1.9340343000367284,10,1.9709210000000894,1.9709210000000894,0.028811100055463612,2.982488400011789,3.8165255000349134,[0.20462962962962963],[-0.4462962962962963],[1],[0],[0],[1.854124600009527],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
2,0,2,0,3.8355269000167027,,3.8199082000064664,5,3.8355269000167027,3.8355269000167027,0.010202499979641289,4.848662600037642,5.233592400036287,[0.23055555555555557],[0.11018518518518519],[1],[0],[0],[1.403592100017704],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
3,0,3,0,5.263548300019465,,5.237821399990935,5,5.263548300019465,5.263548300019465,0.017372400034219027,6.264968800009228,7.000000200001523,[0.13518518518518519],[-0.3],[1],[0],[0],[1.7449449999839999],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
4,0,4,0,7.043969999998808,,7.005066599987913,10,7.043969999998808,7.043969999998808,0.028677400026936084,8.04783930000849,8.649755100021139,[-0.1388888888888889],[0.46944444444444444],[1],[0],[0],[1.616322499990929],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
5,0,5,0,8.700616199988872,,8.653331200010143,10,8.700616199988872,8.700616199988872,0.0347493999870494,9.714083600032609,9.88218539999798,[0.026851851851851852],[0.27870370370370373],[1],[0],[0],[1.1943638999946415],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
6,0,6,0,9.903651500004344,,9.886230300005991,5,9.903651500004344,9.903651500004344,0.012387300026603043,10.914017800008878,11.166369399987161,[0.21574074074074073],[-0.1425925925925926],[1],[0],[0],[1.2675196999916807],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
7,0,7,0,11.207374399993569,,11.171418200014159,10,11.207374399993569,11.207374399993569,0.027854599989950657,12.213456100027543,12.948091500031296,[0.3648148148148148],[0.15833333333333333],[1],[0],[0],[1.7493933999794535],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
8,0,8,0,12.966578599996865,,12.950755700003356,5,12.966578599996865,12.966578599996865,0.010160100006032735,13.979962999990676,14.547933000023477,[-0.008333333333333333],[0.4527777777777778],[1],[0],[0],[1.5871246000169776],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
9,0,9,0,14.579627500032075,,14.550849199993536,10,14.579627500032075,14.579627500032075,0.020540700003039092,15.579532700008713,16.930430600012187,[-0.17407407407407408],[-0.33055555555555555],[1],[0],[0],[2.3592677999986336],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
10,0,10,0,16.966866000031587,,16.93296060001012,10,16.966866000031587,16.966866000031587,0.02148460003081709,17.979028400033712,18.663357399986126,[-0.48518518518518516],[-0.15092592592592594],[1],[0],[0],[1.7090161999803968],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
11,0,11,0,18.686677200021222,,18.668403699994087,5,18.686677200021222,18.686677200021222,0.012767500011250377,19.695866200025193,20.647019700030796,[-0.21481481481481482],[-0.12777777777777777],[1],[0],[0],[1.9663643999956548],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
12,0,12,0,20.6684949999908,,20.650380700011738,5,20.6684949999908,20.6684949999908,0.01312850002432242,21.678084600018337,21.896292500023264,[0.14907407407407408],[-0.044444444444444446],[1],[0],[0],[1.2329357999842614],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
13,0,13,0,21.9157375000068,,21.89937470003497,5,21.9157375000068,21.9157375000068,0.011100000003352761,22.927832500019576,23.29712380003184,[0.1537037037037037],[-0.08796296296296297],[1],[0],[0],[1.3864345999900252],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
14,0,14,0,23.325601399992593,,23.30192659999011,5,23.325601399992593,23.325601399992593,0.016584599972702563,24.32767570001306,24.963071200007107,[-0.28055555555555556],[0.19907407407407407],[1],[0],[0],[1.6449840999557637],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
15,0,15,0,25.003326800011564,,24.96690589998616,10,25.003326800011564,25.003326800011564,0.024609200016129762,26.010876499989536,26.545572600036394,[0.06759259259259259],[0.29814814814814816],[1],[0],[0],[1.554589599953033],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
16,0,16,0,26.566568300011568,,26.54786510003032,5,26.566568300011568,26.566568300011568,0.011255000019446015,27.577243599982467,28.228252100001555,[-0.002777777777777778],[-0.12407407407407407],[1],[0],[0],[1.6691449000500143],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
17,0,17,0,28.248726600024384,,28.23161010001786,5,28.248726600024384,28.248726600024384,0.01032080000732094,29.260208800027613,30.144694600021467,[0.1824074074074074],[-0.3314814814814815],[1],[0],[0],[1.9029878999572247],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
18,0,18,0,30.190235699992627,,30.147623500030022,10,30.190235699992627,30.190235699992627,0.01932160003343597,31.193110499996692,32.09409369999776,[-0.45185185185185184],[0.3212962962962963],[1],[0],[0],[1.9273113000090234],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
19,0,19,0,32.129278799984604,,32.09756419999758,10,32.129278799984604,32.129278799984604,0.020962499955203384,33.143126100010704,34.24358220002614,[0.35833333333333334],[-0.22592592592592592],[1],[0],[0],[2.1253731999895535],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
20,0,20,0,34.29076599999098,,34.24750390002737,10,34.29076599999098,34.29076599999098,0.029283000039868057,35.2918212999939,35.71141930000158,[0.22777777777777777],[0.1824074074074074],[1],[0],[0],[1.4336324000032619],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
21,0,21,0,35.80465320002986,,35.71445510000922,10,35.80465320002986,35.80465320002986,0.06672970001818612,36.8082142000203,38.37601740000537,[-0.026851851851851852],[-0.2212962962962963],[1],[0],[0],[2.595200800045859],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
22,0,22,0,38.40831560001243,,38.3783205000218,10,38.40831560001243,38.40831560001243,0.018167099973652512,39.40797990001738,39.992119700007606,[-0.16944444444444445],[-0.000925925925925926],[1],[0],[0],[1.595837400003802],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
23,0,23,0,40.01675840001553,,39.99465950002195,5,40.01675840001553,40.01675840001553,0.010066399991046637,41.02423540002201,41.62544929998694,[-0.42777777777777776],[0.025925925925925925],[1],[0],[0],[1.620981399959419],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
24,0,24,0,41.64638280001236,,41.6284879000159,5,41.64638280001236,41.64638280001236,0.009465600014664233,42.65715490002185,42.87533230002737,[0.21296296296296297],[0.18888888888888888],[1],[0],[0],[1.2375834000413306],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
25,0,25,0,42.905846200010274,,42.87844729999779,5,42.905846200010274,42.905846200010274,0.011460900015663356,43.90695390000474,44.392110500019044,[0.001851851851851852],[0.17777777777777778],[1],[0],[0],[1.5019121000077575],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
26,0,26,0,44.436686800036114,,44.395784399996046,10,44.436686800036114,44.436686800036114,0.0201171999797225,45.44004020001739,47.20744770002784,[-0.34629629629629627],[0.45925925925925926],[1],[0],[0],[2.7918475000187755],[],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
27,0,27,0,47.23436529998435,,47.21067080000648,5,47.23436529998435,47.23436529998435,0.011053700000047684,48.23927590000676,48.557977300020866,[0.13703703703703704],[-0.14537037037037037],[1],[0],[0],[1.3362766000209376],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
28,0,28,0,48.61383610003395,,48.56306339998264,10,48.61383610003395,48.61383610003395,0.023017100000288337,49.62262270000065,50.32451659999788,[-0.3138888888888889],[0.38333333333333336],[1],[0],[0],[1.7388651000219397],['target'],1,001,2024-10-09_13h47.25.652,Vision search,2024.1.5,None,2024-10-09 13h47.34.810128 +0530,
