trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03247799997916445,,0.005573700007516891,5,0.03247799997916445,0.03247799997916445,0.01745460001984611,1.0444156999583356,1.6454373999731615,[-0.175],[-0.4777777777777778],[1],[0],[0],[1.6272555000032298],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
1,0,1,0,1.6858425999525934,,1.6496148000005633,10,1.6858425999525934,1.6858425999525934,0.02797429997008294,2.694065599993337,2.961605199961923,[-0.3101851851851852],[0.05740740740740741],[1],[0],[0],[1.2845193999819458],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
2,0,2,0,2.9911392999929376,,2.964587699971162,10,2.9911392999929376,2.9911392999929376,0.019070899987127632,3.993941899971105,4.211818599957041,[-0.43703703703703706],[0.2222222222222222],[1],[0],[0],[1.2283935999730602],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
3,0,3,0,4.239337999955751,,4.214373999973759,10,4.239337999955751,4.239337999955751,0.01773749996209517,5.2432477999827825,5.928459399961866,[-0.09907407407407408],[-0.1037037037037037],[1],[0],[0],[1.6963813999900594],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
4,0,4,0,5.948306899983436,,5.93198829999892,5,5.948306899983436,5.948306899983436,0.011524700035806745,6.95957179996185,7.744200099958107,[0.11203703703703703],[-0.34444444444444444],[1],[0],[0],[1.8009895999566652],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
5,0,5,0,7.766995099955238,,7.747159599966835,5,7.766995099955238,7.766995099955238,0.011808599985670298,8.776462199981324,9.028181399975438,[-0.23055555555555557],[0.175],[1],[0],[0],[1.2691203000140376],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
6,0,6,0,9.072330900002271,,9.032845699985046,10,9.072330900002271,9.072330900002271,0.027956100006122142,10.076318199979141,10.559800999995787,[-0.013888888888888888],[-0.33240740740740743],[1],[0],[0],[1.4996731000137515],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
7,0,7,0,10.580582999973558,,10.562233500008006,5,10.580582999973558,10.580582999973558,0.012717499979771674,11.592045099998359,11.776896099967416,[-0.2111111111111111],[-0.2851851851851852],[1],[0],[0],[1.2020046000252478],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
8,0,8,0,11.808006799954455,,11.780249999952503,10,11.808006799954455,11.808006799954455,0.02008180000120774,12.808520199963823,13.509850599977653,[0.3490740740740741],[0.010185185185185186],[1],[0],[0],[1.7098346999846399],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
9,0,9,0,13.531497499963734,,13.512518199975602,5,13.531497499963734,13.531497499963734,0.011562800034880638,14.542630499985535,15.227209999982733,[-0.2388888888888889],[-0.14537037037037037],[1],[0],[0],[1.7030716000008397],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
10,0,10,0,15.249629899975844,,15.231779199966695,5,15.249629899975844,15.249629899975844,0.0128944999887608,16.257783499953803,16.44384199997876,[0.04259259259259259],[-0.30185185185185187],[1],[0],[0],[1.1994638999458402],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
11,0,11,0,16.477935099974275,,16.448678499960806,10,16.477935099974275,16.477935099974275,0.0215885000070557,17.490751899953466,18.058604999969248,[-0.27685185185185185],[-0.3],[1],[0],[0],[1.5888988000224344],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
12,0,12,0,18.07795740000438,,18.06171350000659,5,18.07795740000438,18.07795740000438,0.011343599995598197,19.09039169998141,19.726304499956314,[-0.3648148148148148],[-0.11851851851851852],[1],[0],[0],[1.6531631000107154],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
13,0,13,0,19.754675699979998,,19.731196799955796,5,19.754675699979998,19.754675699979998,0.015884799999184906,20.757372799969744,21.64168899995275,[0.17222222222222222],[0.022222222222222223],[1],[0],[0],[1.8949035999830812],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
14,0,14,0,21.687399599992204,,21.64665069995681,10,21.687399599992204,21.687399599992204,0.02946039999369532,22.68974539998453,23.890515899984166,[-0.24444444444444444],[0.33240740740740743],[1],[0],[0],[2.2151827999623492],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
15,0,15,0,23.910094199993182,,23.893174799974076,5,23.910094199993182,23.910094199993182,0.009787100018002093,24.92243769997731,25.27397259999998,[0.020370370370370372],[0.31296296296296294],[1],[0],[0],[1.3710442999727093],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
16,0,16,0,25.293048599967733,,25.277328399999533,5,25.293048599967733,25.293048599967733,0.010573300009127706,26.305714299960528,26.67349600000307,[-0.06481481481481481],[-0.2833333333333333],[1],[0],[0],[1.3859077999950387],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
17,0,17,0,26.696054000000004,,26.67636369995307,5,26.696054000000004,26.696054000000004,0.01174480002373457,27.705519999959506,28.00759269995615,[-0.11481481481481481],[-0.06481481481481481],[1],[0],[0],[1.3194629999925382],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
18,0,18,0,28.031641599955037,,28.012263699958567,5,28.031641599955037,28.031641599955037,0.012908099975902587,29.038411599991377,29.239585799979977,[-0.30833333333333335],[0.30648148148148147],[1],[0],[0],[1.2147924000164494],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
19,0,19,0,29.276844099978916,,29.243360699969344,10,29.276844099978916,29.276844099978916,0.025354099983815104,30.28827849996742,32.30641839996679,[0.42592592592592593],[0.3509259259259259],[1],[0],[0],[3.0379727000254206],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
20,0,20,0,32.338868199964054,,32.31081609998364,10,32.338868199964054,32.338868199964054,0.02024030004395172,33.35393359995214,35.35593759996118,[0.39351851851851855],[0.04537037037037037],[1],[0],[0],[3.0251555000431836],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
21,0,21,0,35.388356899959035,,35.35969859996112,10,35.388356899959035,35.388356899959035,0.020522100036032498,36.40338909998536,36.70456209999975,[0.40925925925925927],[0.13796296296296295],[1],[0],[0],[1.3247855000081472],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
22,0,22,0,36.73442219995195,,36.70704489998752,10,36.73442219995195,36.73442219995195,0.01913179998518899,37.73656439996557,38.40491129999282,[0.08518518518518518],[0.09907407407407408],[1],[0],[0],[1.6787744999746792],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
23,0,23,0,38.43779110000469,,38.40816339995945,10,38.43779110000469,38.43779110000469,0.02108330000191927,39.4530139999697,39.73804319999181,[0.17222222222222222],[0.2064814814814815],[1],[0],[0],[1.3088102000183426],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
24,0,24,0,39.77905319997808,,39.74127589998534,10,39.77905319997808,39.77905319997808,0.02906919998349622,40.785705299989786,42.47017009998672,[0.4009259259259259],[-0.2851851851851852],[1],[0],[0],[2.70013170002494],['target'],1,001,2024-10-09_13h56.29.694,Vision search,2024.1.5,None,2024-10-09 13h57.12.427129 +0530,
