trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03209660004358739,,0.004409000044688582,10,0.03209660004358739,0.03209660004358739,0.022590699954889715,1.0322496000444517,4.615899300028104,[-0.3194444444444444],[-0.32037037037037036],[1],[0],[0],[4.592703799949959],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
1,0,1,0,4.643488300032914,,4.618547500052955,10,4.643488300032914,4.643488300032914,0.017304399982094765,5.648324600013439,6.198633500025608,[0.18703703703703703],[-0.35555555555555557],[1],[0],[0],[1.5628089000238106],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
2,0,2,0,6.228559500013944,,6.2013769000186585,10,6.228559500013944,6.228559500013944,0.018803499988280237,7.231099300028291,7.981593900010921,[-0.1398148148148148],[0.03981481481481482],[1],[0],[0],[1.7616238000337034],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
3,0,3,0,7.998974300047848,,7.983947500004433,5,7.998974300047848,7.998974300047848,0.00900810002349317,9.013761800015345,9.349793100031093,[0.32222222222222224],[-0.2101851851851852],[1],[0],[0],[1.3566872999654151],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
4,0,4,0,9.38697770005092,,9.35566340002697,10,9.38697770005092,9.38697770005092,0.023876500024925917,10.396805400028825,10.665276300045662,[0.15925925925925927],[0.2935185185185185],[1],[0],[0],[1.2861614000285044],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
5,0,5,0,10.692923600028735,,10.66916270001093,5,10.692923600028735,10.692923600028735,0.015432999993208796,11.696700300031807,11.881001900008414,[-0.02962962962962963],[0.13518518518518519],[1],[0],[0],[1.196829600026831],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
6,0,6,0,11.91101650003111,,11.884252200019546,10,11.91101650003111,11.91101650003111,0.01909939997131005,12.912919800030068,13.747019100002944,[0.3333333333333333],[-0.09351851851851851],[1],[0],[0],[1.844005000020843],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
7,0,7,0,13.789811000053305,,13.749869799998123,10,13.789811000053305,13.789811000053305,0.028921799967065454,14.796064000052866,16.713304400036577,[-0.2962962962962963],[-0.475],[1],[0],[0],[2.9347455000388436],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
8,0,8,0,16.730309600010514,,16.715796200034674,5,16.730309600010514,16.730309600010514,0.009351500018965453,17.745230500004254,18.213485400017817,[0.26296296296296295],[-0.058333333333333334],[1],[0],[0],[1.488468399969861],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
9,0,9,0,18.247218600008637,,18.216782300034538,10,18.247218600008637,18.247218600008637,0.020139100030064583,19.261502500041388,20.396741000004113,[0.35555555555555557],[-0.4185185185185185],[1],[0],[0],[2.1598884999984875],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
10,0,10,0,20.418830200040247,,20.4011011000257,5,20.418830200040247,20.418830200040247,0.01276860001962632,21.427903900039382,21.745998400030658,[-0.25833333333333336],[0.20833333333333334],[1],[0],[0],[1.332556499983184],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
11,0,11,0,21.776543400017545,,21.74935330002336,10,21.776543400017545,21.776543400017545,0.01927879999857396,22.77749980002409,23.228594700049143,[-0.3527777777777778],[-0.03333333333333333],[1],[0],[0],[1.4602521999622695],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
12,0,12,0,23.248004499997478,,23.23148450005101,5,23.248004499997478,23.248004499997478,0.010834800021257252,24.26053359999787,24.762811699998565,[-0.016666666666666666],[-0.13703703703703704],[1],[0],[0],[1.520614899985958],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
13,0,13,0,24.80168470001081,,24.767060100042727,10,24.80168470001081,24.80168470001081,0.023039499996230006,25.810136000043713,26.244350200053304,[-0.31203703703703706],[-0.1398148148148148],[1],[0],[0],[1.4546083000022918],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
14,0,14,0,26.272550800000317,,26.24741890002042,5,26.272550800000317,26.272550800000317,0.017037999990861863,27.2768038000213,27.662130300013814,[0.16296296296296298],[-0.3037037037037037],[1],[0],[0],[1.397697700012941],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
15,0,15,0,27.693892100011,,27.66608500003349,10,27.693892100011,27.693892100011,0.020119900000281632,28.709502000012435,29.14398750005057,[-0.14166666666666666],[-0.006481481481481481],[1],[0],[0],[1.4582193999667652],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
16,0,16,0,29.17239880003035,,29.146491300023627,10,29.17239880003035,29.17239880003035,0.01763870002469048,30.176458700036164,30.61010770004941,[0.25],[0.2574074074074074],[1],[0],[0],[1.4461560000199825],[],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
17,0,17,0,30.62910230003763,,30.612590600037947,5,30.62910230003763,30.62910230003763,0.009838600002694875,31.642111400025897,32.511097500042524,[0.11481481481481481],[-0.24351851851851852],[1],[0],[0],[1.8885651000309736],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
18,0,18,0,32.559802900010254,,32.51533950003795,10,32.559802900010254,32.559802900010254,0.03033300000242889,33.575291400018614,34.04303220001748,[0.4185185185185185],[-0.1675925925925926],[1],[0],[0],[1.4977202000445686],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
19,0,19,0,34.06398060003994,,34.04660500003956,5,34.06398060003994,34.06398060003994,0.011441399983596057,35.07482840004377,35.643460100051016,[0.12685185185185185],[0.2537037037037037],[1],[0],[0],[1.5855733000207692],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
20,0,20,0,35.67961180000566,,35.64763530000346,10,35.67961180000566,35.67961180000566,0.020990299992263317,36.69121380004799,37.09282650001114,[-0.11481481481481481],[0.19166666666666668],[1],[0],[0],[1.4244351999950595],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
21,0,21,0,37.12255720002577,,37.09611550002592,5,37.12255720002577,37.12255720002577,0.01132679998409003,38.124261100019794,38.49359720002394,[0.11296296296296296],[-0.33611111111111114],[1],[0],[0],[1.3861371999955736],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
22,0,22,0,38.54217220004648,,38.498474700027145,10,38.54217220004648,38.54217220004648,0.0213334999862127,39.557240100053605,40.858706400031224,[-0.38055555555555554],[0.17037037037037037],[1],[0],[0],[2.339333300013095],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
23,0,23,0,40.89115500001935,,40.86171170003945,10,40.89115500001935,40.89115500001935,0.01959109999006614,41.889875400054734,43.874822100042365,[-0.3712962962962963],[-0.3472222222222222],[1],[0],[0],[2.9934824000229128],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
24,0,24,0,43.909942300000694,,43.87906360003399,10,43.909942300000694,43.909942300000694,0.020921099989209324,44.9235099000507,46.6401875000447,[0.03981481481481482],[0.13148148148148148],[1],[0],[0],[2.740695299988147],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
25,0,25,0,46.685033400019165,,46.6422881000326,10,46.685033400019165,46.685033400019165,0.01766360003966838,47.68900210002903,49.52318960003322,[0.14444444444444443],[-0.46296296296296297],[1],[0],[0],[2.863304500002414],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
26,0,26,0,49.57091550005134,,49.52603620005539,10,49.57091550005134,49.57091550005134,0.019581700034905225,50.57158850005362,51.72324230003869,[-0.3435185185185185],[0.30092592592592593],[1],[0],[0],[2.177699699997902],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
27,0,27,0,51.75160810002126,,51.72692350001307,5,51.75160810002126,51.75160810002126,0.011704400007147342,52.75430680002319,53.572616400022525,[-0.28888888888888886],[-0.23148148148148148],[1],[0],[0],[1.8342262000078335],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
28,0,28,0,53.594752400007565,,53.576679999998305,5,53.594752400007565,53.594752400007565,0.01197890000184998,54.60416830005124,55.2222009000252,[0.13240740740740742],[-0.1962962962962963],[1],[0],[0],[1.6338533999514766],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
29,0,29,0,55.25341590004973,,55.22653830004856,5,55.25341590004973,55.25341590004973,0.01637299999129027,56.25388690002728,56.87161300005391,[0.03148148148148148],[-0.06018518518518518],[1],[0],[0],[1.6292898000101559],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
30,0,30,0,56.90521009999793,,56.87509010004578,10,56.90521009999793,56.90521009999793,0.02018260001204908,57.920582100050524,59.43779860000359,[0.2722222222222222],[0.05092592592592592],[1],[0],[0],[2.5427722999593243],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
31,0,31,0,59.48391710000578,,59.441226900031324,10,59.48391710000578,59.48391710000578,0.019946200016420335,60.48644820001209,61.903905600018334,[-0.39444444444444443],[-0.34074074074074073],[1],[0],[0],[2.442909999983385],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
32,0,32,0,61.93606490001548,,61.90669830003753,10,61.93606490001548,61.93606490001548,0.01863559999037534,62.935541000042576,63.85324930003844,[-0.10925925925925926],[0.44907407407407407],[1],[0],[0],[1.9282001000246964],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
33,0,33,0,63.87174720002804,,63.85597000003327,5,63.87174720002804,63.87174720002804,0.009477399988099933,64.88544260000344,65.02071609999985,[0.10462962962962963],[0.10925925925925926],[1],[0],[0],[1.1555128999752924],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
34,0,34,0,65.04301730002044,,65.02452430000994,5,65.04301730002044,65.04301730002044,0.011765200004447252,66.05170160002308,66.50356520002242,[0.17777777777777778],[0.3453703703703704],[1],[0],[0],[1.4673289999482222],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
35,0,35,0,66.53390420001233,,66.50904910004465,5,66.53390420001233,66.53390420001233,0.015919200028292835,67.53627460001735,68.28633240005001,[-0.3731481481481482],[-0.27037037037037037],[1],[0],[0],[1.7618674000259489],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
36,0,36,0,68.3310582000413,,68.29046830005245,10,68.3310582000413,68.3310582000413,0.020817400014493614,69.33414210000774,69.81847420003032,[-0.14444444444444443],[0.24074074074074073],[1],[0],[0],[1.5076552999671549],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
37,0,37,0,69.83929329999955,,69.82171020004898,5,69.83929329999955,69.83929329999955,0.012075400038156658,70.85066390002612,71.65218580001965,[0.18333333333333332],[-0.3],[1],[0],[0],[1.8185875000199303],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
38,0,38,0,71.67518150003161,,71.65558990003774,5,71.67518150003161,71.67518150003161,0.010666600021068007,72.68386400002055,73.418369800027,[0.1574074074074074],[0.39166666666666666],[1],[0],[0],[1.7524029000196606],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
39,0,39,0,73.43760310002835,,73.42131640005391,5,73.43760310002835,73.43760310002835,0.010425299988128245,74.45035480003571,75.23450750001939,[-0.49537037037037035],[0.15092592592592594],[1],[0],[0],[1.802914800005965],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
40,0,40,0,75.26703149999958,,75.23910060001072,10,75.26703149999958,75.26703149999958,0.018931700033135712,76.26614900003187,77.18373330001486,[-0.0962962962962963],[-0.37962962962962965],[1],[0],[0],[1.925838900031522],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
41,0,41,0,77.22537710005417,,77.18706580001162,10,77.22537710005417,77.22537710005417,0.021288199990522116,78.23264260002179,78.61733570002252,[0.16018518518518518],[-0.15462962962962962],[1],[0],[0],[1.4091927000554278],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
42,0,42,0,78.63952530000824,,78.62136590003502,5,78.63952530000824,78.63952530000824,0.012294600019231439,79.64874570001848,80.5194006000529,[-0.3907407407407407],[0.3685185185185185],[1],[0],[0],[1.885440100042615],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
43,0,43,0,80.55768110003555,,80.52444570005173,5,80.55768110003555,80.55768110003555,0.01789329998428002,81.56518200004939,82.16646279999986,[0.43796296296296294],[-0.4425925925925926],[1],[0],[0],[1.6246354999602772],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
44,0,44,0,82.21230010001455,,82.16969609999796,10,82.21230010001455,82.21230010001455,0.018464699969626963,83.21469170000637,84.28231500001857,[-0.3194444444444444],[-0.06296296296296296],[1],[0],[0],[2.0944018000154756],['target'],217354,001,2024-10-09_14h06.20.321,Vision search,2024.1.5,None,2024-10-09 14h06.25.754059 +0530,
